DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
,main,contracts,project_start_date,11,date,NULL,NULL,NULL,NULL,NULL
,main,contracts,project_end_date,12,date,NULL,NULL,NULL,NULL,NULL
,main,contracts,employer_responsibilities,13,text,NULL,NULL,NULL,NULL,NULL
,main,contracts,gig_worker_responsibilities,14,text,NULL,NULL,NULL,NULL,NULL
,main,contracts,preferred_communication,15,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,communication_frequency,16,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,status,17,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,gig_worker_signed_at,18,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,employer_signed_at,19,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,fully_signed_at,20,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,pdf_path,21,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,pdf_generated_at,22,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,created_at,23,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,updated_at,24,datetime,NULL,NULL,NULL,NULL,NULL
,main,deposits,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,deposits,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,deposits,user_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,deposits,user_id,2,integer,NULL,FOREIGN KEY,main,users,id
,main,deposits,amount,3,numeric,NULL,NULL,NULL,NULL,NULL
,main,deposits,currency,4,varchar,NULL,NULL,NULL,NULL,NULL
,main,deposits,stripe_payment_intent_id,5,varchar,NULL,NULL,NULL,NULL,NULL
,main,deposits,stripe_payment_intent_id,5,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,deposits,payment_method,6,varchar,NULL,NULL,NULL,NULL,NULL
,main,deposits,status,7,varchar,NULL,NULL,NULL,NULL,NULL
,main,deposits,metadata,8,text,NULL,NULL,NULL,NULL,NULL
,main,deposits,created_at,9,datetime,NULL,NULL,NULL,NULL,NULL
,main,deposits,updated_at,10,datetime,NULL,NULL,NULL,NULL,NULL
,main,dispute_cases,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,dispute_cases,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,dispute_cases,escrow_account_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,dispute_cases,escrow_account_id,2,integer,NULL,FOREIGN KEY,main,escrow_accounts,id
,main,dispute_cases,milestone_id,3,integer,NULL,NULL,NULL,NULL,NULL
,main,dispute_cases,milestone_id,3,integer,NULL,FOREIGN KEY,main,escrow_milestones,id
,main,dispute_cases,initiated_by,4,integer,NULL,NULL,NULL,NULL,NULL
,main,dispute_cases,initiated_by,4,integer,NULL,FOREIGN KEY,main,users,id
,main,dispute_cases,dispute_type,5,varchar,NULL,NULL,NULL,NULL,NULL
,main,dispute_cases,description,6,text,NULL,NULL,NULL,NULL,NULL
,main,dispute_cases,evidence,7,text,NULL,NULL,NULL,NULL,NULL
,main,dispute_cases,status,8,varchar,NULL,NULL,NULL,NULL,NULL
